months,locoregional_control_pct
0.00,100.0000
0.35,100.0000
0.70,100.0000
1.06,100.0000
1.41,100.0000
1.76,100.0000
2.11,100.0000
2.46,100.0000
2.81,100.0000
3.17,26.2458
3.52,8.3056
3.87,8.3056
4.22,8.3056
4.57,8.3056
4.92,8.3056
5.28,8.3056
5.63,8.3056
5.98,8.3056
6.33,8.3056
6.68,8.3056
7.04,8.3056
7.39,8.3056
7.74,8.3056
8.09,8.3056
8.44,8.3056
8.79,8.3056
9.15,8.3056
9.50,8.3056
9.85,8.3056
10.20,8.3056
10.55,8.3056
10.90,8.3056
11.26,8.3056
11.61,8.3056
11.96,8.3056
12.31,8.3056
12.66,8.3056
13.02,8.3056
13.37,8.3056
13.72,8.3056
14.07,8.3056
14.42,8.3056
14.77,8.3056
15.13,8.3056
15.48,8.3056
15.83,8.3056
16.18,8.3056
16.53,8.3056
16.88,8.3056
17.24,8.3056
17.59,8.3056
17.94,8.3056
18.29,8.3056
18.64,8.3056
18.99,8.3056
19.35,8.3056
19.70,8.3056
20.05,8.3056
20.40,8.3056
20.75,8.3056
21.11,8.3056
21.46,8.3056
21.81,8.3056
22.16,8.3056
22.51,8.3056
22.86,8.3056
23.22,8.3056
23.57,8.3056
23.92,8.3056
24.27,8.3056
24.62,8.3056
24.97,8.3056
25.33,8.3056
25.68,8.3056
26.03,8.3056
26.38,8.3056
26.73,8.3056
27.09,8.3056
27.44,8.3056
27.79,8.3056
28.14,8.3056
28.49,8.3056
28.84,8.3056
29.20,8.3056
29.55,8.3056
29.90,8.3056
30.25,8.3056
30.60,8.3056
30.95,8.3056
31.31,8.3056
31.66,8.3056
32.01,8.3056
32.36,8.3056
32.71,8.3056
33.07,8.3056
33.42,8.3056
33.77,8.3056
34.12,8.3056
34.47,8.3056
34.82,8.3056
35.18,8.3056
35.53,8.3056
35.88,8.3056
36.23,8.3056
36.58,8.3056
36.93,8.3056
37.29,8.3056
37.64,8.3056
37.99,8.3056
38.34,8.3056
38.69,8.3056
39.05,8.3056
39.40,8.3056
39.75,8.3056
40.10,8.3056
40.45,8.3056
40.80,8.3056
41.16,8.3056
41.51,8.3056
41.86,8.3056
42.21,8.3056
42.56,8.3056
42.91,8.3056
43.27,8.3056
43.62,8.3056
43.97,8.3056
44.32,8.3056
44.67,8.3056
45.03,8.3056
45.38,8.3056
45.73,8.3056
46.08,8.3056
46.43,8.3056
46.78,8.3056
47.14,8.3056
47.49,8.3056
47.84,8.3056
48.19,8.3056
48.54,8.3056
48.89,8.3056
49.25,8.3056
49.60,8.3056
49.95,8.3056
50.30,8.3056
50.65,8.3056
51.01,8.3056
51.36,8.3056
51.71,8.3056
52.06,8.3056
52.41,8.3056
52.76,8.3056
53.12,8.3056
53.47,8.3056
53.82,8.3056
54.17,8.3056
54.52,8.3056
54.87,8.3056
55.23,8.3056
55.58,8.3056
55.93,8.3056
56.28,8.3056
56.63,8.3056
56.98,8.3056
57.34,8.3056
57.69,8.3056
58.04,8.3056
58.39,8.3056
58.74,8.3056
59.10,8.3056
59.45,8.3056
59.80,8.3056
60.15,8.3056
60.50,8.3056
60.85,8.3056
61.21,8.3056
61.56,8.3056
61.91,8.3056
62.26,8.3056
62.61,8.3056
62.96,8.3056
63.32,8.3056
63.67,8.3056
64.02,8.3056
64.37,8.3056
64.72,8.3056
65.08,8.3056
65.43,8.3056
65.78,8.3056
66.13,8.3056
66.48,8.3056
66.83,8.3056
67.19,8.3056
67.54,8.3056
67.89,8.3056
68.24,8.3056
68.59,8.3056
68.94,8.3056
69.30,8.3056
69.65,8.3056
70.00,8.3056
