plot_id,n_true,n_pred,matched,median_iae,median_ae,fail,dpi,grid,legend,risk_table,censor_marks,degrade,truncate_y,y_min
0,1,2,1,0.07000880725971324,0.06999735586954504,0,200,0,0,0,1,0,1,0.30531487955942127
1,2,2,2,0.08383645610400367,0.08385039449788403,0,80,0,1,1,1,0,1,0.43019526577628986
2,1,1,1,0.11120611228234978,0.11110157237670014,0,120,1,0,0,0,1,1,0.4289238374819831
3,2,2,2,0.14342300096123145,0.14342419979886023,0,80,0,0,0,0,0,1,0.3475592595470926
4,3,1,1,0.09730552315727643,0.09724811020208457,1,120,1,0,0,1,1,1,0.3518418349798044
5,2,1,1,0.10082663876617338,0.10075418647436378,1,200,1,1,0,1,1,1,0.38342774513829225
6,1,2,1,0.17073764691147802,0.17058155810354234,0,120,0,1,1,1,0,1,0.41414344155585037
7,1,2,1,0.09492998830835053,0.09489339214613517,0,120,1,0,0,1,1,0,0.3065783639745657
8,2,1,1,0.03486074443528567,0.03490883956372236,1,80,0,0,0,1,1,0,0.26977972402861367
9,1,1,1,0.07654884565810152,0.07656062098332049,0,120,1,0,0,0,1,1,0.3786480715850851
10,2,2,2,0.04657516544732072,0.04660505249205743,0,80,0,1,1,0,0,1,0.29048918127301926
11,3,1,1,0.30486790658838436,0.30457729576357745,1,120,1,0,0,1,1,1,0.4136226630715006
12,1,1,1,0.23523231783242066,0.23500915078344958,0,120,0,0,0,0,1,1,0.34570566388036567
13,1,2,1,0.028820480002769898,0.028864079703707746,0,120,1,0,1,1,1,0,0.3447761992039671
14,1,1,1,0.08728646253118016,0.08722271862044119,0,80,0,1,0,1,0,1,0.34530088143827237
15,3,3,3,0.01363868716993527,0.013676086333512113,0,80,0,0,1,0,0,0,0.3338027537077223
16,2,0,0,,,1,80,1,1,0,0,0,0,0.2597590556991564
17,3,1,1,0.02281130515684004,0.02291044196038213,1,80,1,1,0,1,1,0,0.3100077923534347
18,3,3,3,0.012366142227192,0.012373249504135162,0,120,1,1,0,1,0,0,0.2894387065753672
19,3,3,3,0.012760501990548082,0.012790678895636577,0,120,1,0,1,1,0,0,0.26490431316554713
20,3,3,3,0.16826442716997125,0.16829457618538052,0,80,0,1,1,0,0,1,0.431407798200248
21,1,2,1,0.11546061021584764,0.11549435334624124,0,200,0,0,1,1,1,1,0.4068353423718497
22,3,3,3,0.10331598259435454,0.1032507892673994,0,200,1,0,1,0,1,1,0.25635560827222126
23,2,2,2,0.02719714812593348,0.02720410207301177,0,120,0,0,0,0,0,0,0.36829634386343296
24,1,2,1,0.0450296123405368,0.045031985103820615,0,200,1,0,0,1,1,0,0.4074548242443893
25,2,3,2,0.12687572837507718,0.12679763202936373,0,120,0,1,0,1,0,1,0.3808469051046266
26,1,2,1,0.10172367882597536,0.10163821936356407,0,200,1,0,0,1,0,1,0.25227035584494967
